UWI,Date,Oil_Volume_m3,Water_Volume_m3,Gas_Volume_e3m3
100/07-20-010-100W1/00,2025/1/1,33.34,23.67,1.67
100/07-20-010-100W1/00,2025/1/2,31.84,23.07,1.59
100/07-20-010-100W1/00,2025/1/3,33.84,24.61,1.69
100/07-20-010-100W1/00,2025/1/4,31.52,8.18,1.58
100/07-20-010-100W1/00,2025/1/5,33.81,23.75,1.69
100/07-20-010-100W1/00,2025/1/6,0,0,0
100/07-20-010-100W1/00,2025/1/7,31.46,10.58,1.57
100/07-20-010-100W1/00,2025/1/8,32.1,14.87,1.6
100/07-20-010-100W1/00,2025/1/9,32.2,25.12,1.61
100/07-20-010-100W1/00,2025/1/10,31.8,14.25,1.59
100/07-20-010-100W1/00,2025/1/11,31.88,4.01,1.59
100/07-20-010-100W1/00,2025/1/12,32.56,4.43,1.63
100/07-20-010-100W1/00,2025/1/13,33.85,9.06,1.69
100/07-20-010-100W1/00,2025/1/14,32.45,25.64,1.62
100/07-20-010-100W1/00,2025/1/15,33.02,20.9,1.65
100/07-20-010-100W1/00,2025/1/16,33.17,11.85,1.66
100/07-20-010-100W1/00,2025/1/17,32.83,15.59,1.64
100/07-20-010-100W1/00,2025/1/18,33.45,10.86,1.67
100/07-20-010-100W1/00,2025/1/19,30.85,15.84,1.54
100/07-20-010-100W1/00,2025/1/20,30.74,14.09,1.54
100/07-20-010-100W1/00,2025/1/21,32.74,7.27,1.64
100/07-20-010-100W1/00,2025/1/22,31.87,24.09,1.59
100/07-20-010-100W1/00,2025/1/23,31.69,5.69,1.58
100/07-20-010-100W1/00,2025/1/24,33.39,9.37,1.67
100/07-20-010-100W1/00,2025/1/25,33.16,16.21,1.66
100/07-20-010-100W1/00,2025/1/26,31.28,5.17,1.56
100/07-20-010-100W1/00,2025/1/27,33.37,18.12,1.67
100/07-20-010-100W1/00,2025/1/28,31.57,19.2,1.58
100/07-20-010-100W1/00,2025/1/29,33.26,21.48,1.66
100/07-20-010-100W1/00,2025/1/30,30.66,6.53,1.53
100/07-20-010-100W1/00,2025/1/31,32.3,3.44,1.61
100/07-20-010-100W1/00,2025/2/1,32.45,3.36,1.62
100/07-20-010-100W1/00,2025/2/2,32.05,18.73,1.6
100/07-20-010-100W1/00,2025/2/3,30.99,18.55,1.55
100/07-20-010-100W1/00,2025/2/4,31.28,19.47,1.56
100/07-20-010-100W1/00,2025/2/5,32.92,18.44,1.65
100/07-20-010-100W1/00,2025/2/6,30.48,10.89,1.52
100/07-20-010-100W1/00,2025/2/7,30.93,24.16,1.55
100/07-20-010-100W1/00,2025/2/8,32.96,17.86,1.65
100/07-20-010-100W1/00,2025/2/9,31.69,15.97,1.58
100/07-20-010-100W1/00,2025/2/10,30.69,18.59,1.53
100/07-20-010-100W1/00,2025/2/11,30.12,16.62,1.51
100/07-20-010-100W1/00,2025/2/12,32.98,25.32,1.65
100/07-20-010-100W1/00,2025/2/13,31.15,3.45,1.56
100/07-20-010-100W1/00,2025/2/14,31.3,24.31,1.57
100/07-20-010-100W1/00,2025/2/15,32.61,9.98,1.63
100/07-20-010-100W1/00,2025/2/16,32.57,10.48,1.63
100/07-20-010-100W1/00,2025/2/17,31.62,23.88,1.58
100/07-20-010-100W1/00,2025/2/18,31.63,5.31,1.58
100/07-20-010-100W1/00,2025/2/19,32.92,6.52,1.65
100/07-20-010-100W1/00,2025/2/20,32.53,20.12,1.63
100/07-20-010-100W1/00,2025/2/21,31.95,11.24,1.6
100/07-20-010-100W1/00,2025/2/22,32.26,21.52,1.61
100/07-20-010-100W1/00,2025/2/23,32.55,14.91,1.63
100/07-20-010-100W1/00,2025/2/24,32.16,17.85,1.61
100/07-20-010-100W1/00,2025/2/25,32.12,23.22,1.61
100/07-20-010-100W1/00,2025/2/26,30.78,5.1,1.54
100/07-20-010-100W1/00,2025/2/27,29.69,12.65,1.48
